google_id,name,lat,lng
ChIJW1CgkPgCskARAWeTe7GSgIQ,La Jar,44.4950544,26.0779477
ChIJBzLLSPYCskAR-48GUweFjYg,Restaurant kang (dami),44.4940194,26.08603179999999
ChIJJ6PaGlgCskARfGw389000T0,Parohia Băneasa,44.49052879999999,26.0916198
ChIJIzzbpv8CskARYEbN334H_SU,Forever Pizza,44.497608899999996,26.0726178
ChIJGalQNf8CskARGSZj-0xARm8,Capricciosa,44.49587299999999,26.0771867
ChIJoWJjHvgCskARUvYPtPk-V2M,COCOȘATU'S PLACE,44.49444580000001,26.082336899999998
ChIJoYXyT1gCskARvB0lHf_Sanc,Bistro No.21,44.491502800000006,26.083014600000002
ChIJh5nONnoDskARTdCvd_BGScQ,Restaurant Voievodal Baneasa,44.49036940000001,26.0795305
ChIJlVZWDdoDskARqq0AMaDRw64,Chef's Gallery,44.491814700000006,26.0787062
ChIJlV0SQJkDskARILaxWWpgSbY,Eat.,44.49049819999999,26.07845469999999
ChIJ0Y4Tx1cCskARD_LRz0n-kLM,Bistro La Boieru,44.493131,26.078706
ChIJLefIVr4DskARoRk9FXVazbU,Saormeria Baneasa,44.494480700000004,26.0806015
ChIJu0Ez9vcCskARFRUvHxiss_8,Mister Kebab,44.49420369999999,26.08271969999999
ChIJ7654bfgCskARK0BE6ROPIaI,Danibi Băneasa,44.4945127,26.080479500000003
ChIJh4Nr9vcCskARmt33Jmg81Xc,Restaurant La Gil,44.4941667,26.0830556
ChIJMVwUQccDskARykndhTjr02k,Om hani restaurant -terasa,44.4944737,26.0796141
ChIJEa6TxhwDskAR5AIZBK11Im0,Om Hani lebanese restaurant,44.49248769999999,26.0857225
ChIJheN0bcoDskAR4kBvMgz8eI8,Cooperativa FRUFRU,44.495156,26.078545000000002
ChIJnQw0--kDskARD1lOj72VU7E,Danielli Pizzeria,44.491291100000005,26.074862300000003
ChIJRdDor_cCskARd3B4104R8CI,La Madreela,44.4945596,26.085409
ChIJtTlGS18CskARHjI70WnwwyY,Saidoun Halal Resturant,44.491212700000005,26.0873151
ChIJG80rV14DskAR5EDVkX_zrwc,Lanach Flavours,44.487933700000006,26.0894488
ChIJ51PHjloCskARJQPA4fTg2Ws,Dream Event,44.486339799999996,26.07320829999999
ChIJgXfBhV8CskAR4R5qOLyQuBs,Restaurant Gusteau's,44.4907908,26.0915754
ChIJre-zfvUCskARShSHL0ZIzQ0,Riviera Narghilea Nord,44.4914097,26.0917374
ChIJL3PhXDIDskARnWNtHjdcR38,Kitchen,44.49147869999999,26.0919737
ChIJx62urK0DskARx7_Nq9HtUE8,Mancare cu Staif,44.4904426,26.0922673
ChIJpyFZhOMCskARF6g3lhsCiJ0,IKEA Restaurant & Café,44.50621539999999,26.0855207
ChIJsTFe1eUCskARDN2X5jPS8z4,lasafi lebanese food,44.5074364,26.082589000000002
ChIJd8phOeQCskARGTiLItW-joY,Greek Taverna,44.5056456,26.0886713
ChIJn6U3N-QCskARVcTIMSBIBic,Oro Toro,44.50574689999999,26.0886183
ChIJFbqz0-YCskARRnxSHsINwVs,City Grill Băneasa,44.506049,26.089479
ChIJ865Nu-YCskARIh66Islfdx8,Black by Doncafe,44.50581640000001,26.0888291
ChIJveA3MOQCskARvOhGWE1HZIA,Salad Box,44.5056805,26.0891615
ChIJfTCXMeQCskARmpm2YQxpXe4,Pep & Pepper,44.5056932,26.089199800000003
ChIJe8i_K-QCskARcLftTg0jFXo,Nordsee,44.5058645,26.0893796
ChIJPUQfOuQCskARW_k7XILYVNc,Soup Up!,44.5059823,26.0894793
ChIJX28AwfwCskARpjPE5ujMKIs,1 minute Victoria Park,44.504875899999995,26.080371799999998
ChIJxevAXlMDskARvMX5OgyLv34,Za German Wurstbar,44.505762299999994,26.0812838
ChIJj_FwY7EDskARbzenv66CGvE,Mille Crepes,44.5074364,26.082589000000002
ChIJVVVVVaUDskARPpkpm07RYfg,McDonald’s,44.5057881,26.0891944
ChIJE_lodR0DskARv5jMelbLENM,Taco Bell,44.50557439999999,26.0888201
ChIJW8BtMeQCskARuIFG5j8VY7s,Argentine,44.5056846,26.0887818
ChIJi0UqLuQCskARL6XPf8bpYXM,KFC Baneasa,44.5056345,26.08908559999999
ChIJ-f6ig-YCskAR1TrQxEFiYYI,Sheherazade,44.505764500000005,26.0890228
ChIJueuhpBgDskARpzMzrLMNyLM,KFC Baneasa DT,44.50778709999999,26.0846815
ChIJwYu0IaIDskAReZhm89cls0g,Băneasa Parc Terasă,44.507366,26.075605399999997
ChIJAfeaOuICskARxNQqaV6qfvQ,Ready to Box Chopstix,44.5057283,26.089391199999998
ChIJNX8oGFoDskARujbLUR1TF6s,Chocolat,44.506044200000005,26.0891236
ChIJ5cgNMOQCskAR5Wj-uKNzTE4,Taksim,44.5058452,26.0894755
ChIJMyEGSbIDskARIXLfNMC6Vv0,Avocadoo,44.50600959999999,26.089264399999998
ChIJa7AfpakDskARVPaWcrg4pCg,MELT Restaurant,44.5059848,26.0893296
ChIJLxQqwwsCskARS2BHH-VZkuc,Club Floreasca,44.467102600000004,26.095533399999997
ChIJmUYRXggCskARqdnSYVXntnc,Gargantua D'oro,44.462126299999994,26.094306
ChIJAeGtUw4CskAROG3JpNVmbTg,Restaurant Four Seasons,44.46131639999999,26.0931985
ChIJY8QgaQgCskAR3yU0ryS7BtU,Nuba Cafe,44.461865700000004,26.094583
ChIJzwOBugcCskAR6ptZkNbmlM0,Exile,44.459756,26.092451899999997
ChIJ4ZDqwAcCskARJhc9peou7A8,Petite,44.46,26.0933333
ChIJr2YPPQgCskARBk5l0pYtB2I,ZenSushi Dorobanti,44.461816299999995,26.0964098
ChIJJ6no4QcCskARgnStL1IcqWU,YUKI japanese home dining,44.4608,26.0953
ChIJXxObvQcCskAReQBgNWKbYhI,DonCafe Brasserie,44.4595169,26.093208399999998
ChIJl7xw7wcCskARkuIimpzkiKI,FRUDISIAC,44.46017620000001,26.095073
ChIJeXJjDgoCskARN3LGpyAHPNc,Grădina Floreasca,44.465391499999996,26.099096399999997
ChIJY_q99QcCskARBIVYRhavqFA,Rio Juice,44.459655,26.0952303
ChIJmRXznQcCskARSgmRhZ3-2LQ,Maize farm to table,44.45865289999999,26.0929978
ChIJ2wacwqf4sUAR370A0qpAaGw,SCANDIA SIBIU S.R.L.,44.460427200000005,26.097275600000003
ChIJ00Qc2T__sUARZyDt7df3ldc,Restaurantul Maccheroni,44.462165899999995,26.09943669999999
ChIJ2Zl-Daj4sUARYHURlKx-lRc,La Pescăria Dorobanților,44.459627000000005,26.097061
ChIJiUZQvqf4sUARMPfxP6W9ESE,rawdia,44.461113399999995,26.0991918
ChIJETfEQKj4sUARvUe6UmbvEbA,Pancakes & more,44.458831700000005,26.0965423
ChIJPWG6Oaj4sUARLxjCT9CGcgs,Yucca Wellness Center,44.458816600000006,26.09652269999999
ChIJBz5HEwgCskAR7ULgb134sY8,White Horse,44.46145739999999,26.095706200000002
ChIJf1lWEaj4sUAR69kqh30bzRo,Bistro Mon Cheri,44.459446299999996,26.096618300000003
ChIJNUcvhUD_sUARezo2AQplgi8,Bistropolitan,44.460983899999995,26.09474599999999
ChIJbbZJ6wYCskAR-ImAT5eNld4,Uptown,44.4588045,26.0886915
ChIJC5JePc0DskARBXWWjieIw2c,Porto Gallo,44.46527280000001,26.0883083
